Date,wse,flag
2023-07-27 10:11:48,164.2899,0
2023-09-07 03:42:00,163.8997,0
2023-09-28 00:27:04,163.7218,1
2023-10-18 21:12:07,163.8123,0
2023-11-08 17:57:12,163.518,0
2023-11-29 14:42:18,163.3113,0
2023-12-20 11:27:22,163.4395,0
2024-01-10 08:12:27,163.2071,0
2024-01-31 04:57:34,163.53,0
2024-02-21 01:42:39,163.3516,0
2024-03-12 22:27:41,162.8634,0
2024-04-02 19:12:45,163.9671,0
2024-04-23 15:57:52,163.8823,0
2024-05-14 12:42:56,163.7444,0
2024-06-04 09:28:02,164.6463,0
2024-06-23 19:19:49,163.9894,1
2024-06-25 06:13:05,164.3676,0
2024-08-05 23:43:14,165.4828,1
2024-08-26 20:28:18,164.0979,0
2024-10-06 03:05:16,165.799,1
2024-10-07 13:58:31,164.3271,0
2024-10-28 10:43:35,163.699,0
2024-11-18 07:28:40,163.3871,0
2025-01-19 21:43:53,163.3001,0
2025-05-25 02:14:21,164.0066,0
2025-06-13 12:06:10,163.0772,1
2025-06-14 22:59:25,163.7906,0
2025-07-05 19:44:32,163.9731,0
2025-07-25 05:36:21,163.8391,0
2025-07-26 16:29:37,163.5687,0
2025-08-15 02:21:25,164.3756,0
2025-08-16 13:14:41,164.2875,0
2025-09-06 09:59:46,163.8745,0
2025-09-25 19:51:33,163.9514,0
2025-09-27 06:44:49,163.748,0
2025-10-18 03:29:55,163.6294,0
2025-11-06 13:21:43,163.0022,1
2025-11-08 00:14:59,163.3129,0
2025-11-28 21:00:03,163.3314,0
2025-12-19 17:45:06,163.4269,0
2026-01-09 14:30:12,163.2165,0
2026-01-30 11:15:16,163.7688,0
2026-02-20 08:00:21,163.2042,0
