Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-07-27 23:20:21+00:00,45296300193,3887.9781,3,0.10004107754,0,4980750,m,1
2023-08-08 08:34:23+00:00,45296300193,3885.8416,3,0.27561581426,0,4997130,m,1
2023-08-29 05:19:28+00:00,45296300193,3885.3922,3,0.07354154846,0,4210702,m,1
2023-09-07 16:50:33+00:00,45296300193,3890.9528,3,0.05518111777,0,4980750,m,1
2023-09-19 02:04:33+00:00,45296300193,3888.7692,3,0.13156658084,0,4210702,m,1
2023-09-28 13:35:36+00:00,45296300193,3890.918,3,0.00030634124,0,4194318,m,1
2023-10-09 22:49:35+00:00,45296300193,3885.1247,3,0.10043878004,0,4210702,m,1
2023-10-19 10:20:40+00:00,45296300193,3891.3234,3,0.02895567615,0,4456462,m,1
2023-10-30 19:34:41+00:00,45296300193,3890.5348,3,0.36600585966,0,4472846,m,1
2023-11-09 07:05:45+00:00,45296300193,3890.8716,3,0.23841168307,0,4980750,m,1
2023-11-20 16:19:46+00:00,45296300193,3891.2049,3,0.11258725343,0,4734990,m,1
2023-11-30 03:50:51+00:00,45296300193,3891.0641,3,0.03430187632,0,4980750,m,1
2023-12-11 13:04:50+00:00,45296300193,3891.3129,3,0.02660055747,0,4734990,m,1
2023-12-21 00:35:54+00:00,45296300193,3890.8481,3,0.00024166921,0,4194318,m,1
2024-01-01 09:49:57+00:00,45296300193,3889.288,3,0.33851879175,0,4997134,m,1
2024-01-10 21:21:00+00:00,45296300193,3889.444,3,0.41797175002,0,4194318,m,1
2024-01-22 06:35:02+00:00,45296300193,3888.6181,3,0.12036593835,0,4210702,m,1
2024-01-31 18:06:06+00:00,45296300193,3888.1954,3,0.06001476278,0,4194318,m,1
2024-02-12 03:20:07+00:00,45296300193,3889.764,3,0.35630111313,0,4210702,m,1
2024-02-21 14:51:11+00:00,45296300193,3888.0098,3,0.60308095513,0,4194318,m,1
2024-03-13 11:36:14+00:00,45296300193,3887.9001,3,0.31653966894,0,4980750,m,1
2024-04-03 08:21:18+00:00,45296300193,3888.4343,3,0.0013031611,0,4194318,m,1
2024-04-14 17:35:20+00:00,45296300193,3889.4918,3,0.17372232197,0,4997134,m,1
2024-04-24 05:06:25+00:00,45296300193,3889.7,3,0.00030633859,0,4194318,m,1
2024-05-05 14:20:23+00:00,45296300193,3890.2489,3,0.1623631739,0,4210702,m,1
2024-05-15 01:51:29+00:00,45296300193,3889.2843,3,0.24407713183,0,4980750,m,1
2024-05-26 11:05:28+00:00,45296300193,3890.5904,3,0.06767113184,0,4997130,m,1
2024-06-04 22:36:34+00:00,45296300193,3886.4319,3,0.15513106204,0,4194318,m,1
2024-06-16 07:50:35+00:00,45296300193,3883.0036,3,0.49808842034,0,4997134,m,1
2024-06-25 19:21:38+00:00,45296300193,3885.7565,3,0.02866826992,0,4456462,m,1
2024-07-07 04:35:37+00:00,45296300193,3886.756,3,0.22391694619,0,4997134,m,1
2024-07-16 16:06:42+00:00,45296300193,3887.3196,3,0.02952849323,0,4456462,m,1
2024-07-28 01:20:43+00:00,45296300193,3883.7822,3,0.37640077325,0,4505614,m,1
2024-08-06 12:51:46+00:00,45296300193,3887.4553,3,0.03474902809,0,4194318,m,1
2024-08-17 22:05:47+00:00,45296300193,3887.3311,3,0.08574439718,0,4210702,m,1
2024-08-27 09:36:51+00:00,45296300193,3885.7864,3,0.03214219007,0,4194318,m,1
2024-09-07 18:50:53+00:00,45296300193,3886.3805,3,0.48773630646,0,4997134,m,1
2024-09-17 06:21:57+00:00,45296300193,3891.1136,3,0.13680585089,0,4980750,m,1
2024-09-28 15:36:00+00:00,45296300193,3891.4975,3,0.41139074004,0,4997134,m,1
2024-10-08 03:07:04+00:00,45296300193,3891.232,3,0.0684289677,0,4980750,m,1
2024-10-19 12:21:05+00:00,45296300193,3891.3373,3,0.13836775465,0,4997134,m,1
2024-10-28 23:52:08+00:00,45296300193,3889.7451,3,0.00202634277,2,4718602,m,1
2024-11-09 09:06:09+00:00,45296300193,3890.5433,3,0.05655330569,0,4997134,m,1
2024-11-18 20:37:12+00:00,45296300193,3890.2049,3,0.00835277046,0,4456462,m,1
2024-11-30 05:51:14+00:00,45296300193,3888.3206,3,0.5607410937,0,4734990,m,1
2024-12-09 17:22:17+00:00,45296300193,3888.6284,3,0.0144489651,0,4980746,m,1
2024-12-21 02:36:17+00:00,45296300193,3886.7285,3,0.04103519481,0,4210702,m,1
2024-12-30 14:07:22+00:00,45296300193,3888.7485,3,0.0033536238,0,4194318,m,1
2025-01-20 10:52:26+00:00,45296300193,3888.3473,3,0.63010746464,0,4194318,m,1
2025-01-31 20:06:26+00:00,45296300193,3886.8314,3,0.02047591768,0,4210702,m,1
2025-02-10 07:37:29+00:00,45296300193,3888.5462,3,0.14068519604,0,4194318,m,1
2025-02-21 16:51:31+00:00,45296300193,3888.0729,3,0.56464986675,0,4210702,m,1
2025-03-03 04:22:34+00:00,45296300193,3889.0739,3,0.05340018765,1,4980750,m,1
2025-03-14 13:36:35+00:00,45296300193,3889.8932,3,0.17106482371,0,4997134,m,1
2025-03-24 01:07:40+00:00,45296300193,3888.9135,3,0.00496578153,0,4980750,m,1
