Date,wse,flag
2023-09-18 15:11:58,20.7604,1
2023-10-09 11:57:00,22.8556,1
2023-10-21 21:14:15,29.0765,1
2023-10-30 08:42:05,20.9251,0
2023-11-11 17:59:21,21.3387,1
2023-11-20 05:27:11,20.618,0
2023-12-02 14:44:26,25.9127,1
2023-12-31 22:57:21,20.4313,0
2024-01-13 08:14:36,22.7876,1
2024-01-21 19:42:27,20.4176,1
2024-02-11 16:27:31,21.8529,0
2024-03-03 13:12:36,23.9776,0
2024-03-24 09:57:40,23.1247,1
2024-04-05 19:14:53,23.8802,1
2024-04-14 06:42:45,20.5677,0
2024-04-26 16:00:00,24.4124,1
2024-05-05 03:27:48,20.2213,1
2024-05-17 12:45:04,22.5759,1
2024-05-26 00:12:53,20.8132,0
2024-06-15 20:57:59,22.3721,0
2024-06-28 06:15:13,23.3109,1
2024-07-06 17:43:02,24.2475,1
2024-07-27 14:28:07,20.9461,1
2024-08-17 11:13:12,21.4685,1
2024-08-29 20:30:27,21.5525,1
2024-09-07 07:58:18,21.2473,1
2024-10-10 14:00:39,23.9444,1
2024-10-19 01:28:29,20.9204,1
2024-10-31 10:45:43,24.0011,1
2024-11-08 22:13:33,20.4762,0
2024-11-21 07:30:49,24.1858,1
2025-01-10 12:28:46,20.3848,1
2025-01-22 21:46:02,23.6535,1
2025-01-31 09:13:51,20.1548,1
2025-02-21 05:58:56,25.6478,1
2025-03-14 02:44:00,22.9675,1
2025-05-07 05:31:23,20.1426,1
2025-05-15 16:59:14,20.0276,0
2025-06-05 13:44:20,24.0081,0
2025-06-17 23:01:33,20.2501,1
2025-06-26 10:29:25,22.4522,0
2025-07-17 07:14:31,20.3655,0
2025-07-29 16:31:45,23.8032,1
2025-08-07 03:59:34,22.7748,1
2025-08-28 00:44:40,20.954,1
2025-09-17 21:29:42,21.8433,1
2025-09-30 06:46:58,22.4772,1
2025-10-08 18:14:47,22.7882,1
2025-10-21 03:32:03,20.2965,1
2025-10-29 14:59:53,20.8683,0
2025-11-11 00:17:07,29.1453,1
2025-11-19 11:44:56,20.263,0
2025-12-01 21:02:11,20.1335,1
2025-12-10 08:29:59,20.1615,0
2025-12-31 05:15:06,20.1629,0
2026-01-12 14:32:20,23.1997,1
2026-01-21 02:00:10,20.2774,0
2026-02-02 11:17:24,34.2157,1
2026-02-10 22:45:13,20.128,1
2026-02-23 08:02:30,24.678,1
2026-03-03 19:30:21,23.1075,1
