Date,wse,flag
2023-08-03 10:15:50,102.9204,0
2023-08-24 07:00:55,102.5575,0
2023-09-01 18:29:11,103.6848,0
2023-09-14 03:46:01,104.6261,0
2023-10-05 00:31:03,101.7443,0
2023-10-25 21:16:08,101.8982,0
2023-11-03 08:44:24,101.854,0
2023-11-15 18:01:13,103.2303,0
2023-11-24 05:29:29,102.4572,0
2023-12-06 14:46:19,103.8151,0
2023-12-15 02:14:33,103.1908,0
2024-01-04 22:59:40,101.5261,0
2024-01-17 08:16:29,101.3528,0
2024-01-25 19:44:45,102.6292,0
2024-02-07 05:01:34,101.9618,0
2024-02-15 16:29:50,101.1509,0
2024-02-28 01:46:40,101.1348,0
2024-03-07 13:14:54,101.4813,0
2024-03-19 22:31:42,100.9264,0
2024-03-28 09:59:58,105.3944,0
2024-04-09 19:16:47,100.6162,0
2024-04-30 16:01:52,100.915,0
2024-05-09 03:30:07,101.5388,1
2024-05-21 12:46:56,100.5408,0
2024-05-30 00:15:12,102.4971,1
2024-06-11 09:32:02,100.5604,0
2024-06-19 21:00:17,102.6178,0
2024-07-02 06:17:05,108.0532,0
2024-07-10 17:45:21,106.9635,1
2024-07-23 03:02:11,104.3009,0
2024-08-12 23:47:16,105.6257,1
2024-08-21 11:15:30,103.651,1
2024-09-02 20:32:21,103.1954,0
2024-09-23 17:17:27,104.9616,0
2024-10-02 04:45:44,102.7431,0
2024-10-14 14:02:32,101.9341,0
2024-10-23 01:30:47,101.2219,0
2024-11-04 10:47:36,101.3635,0
2024-11-12 22:15:51,101.278,0
2024-11-25 07:32:42,101.799,0
2024-12-03 19:00:56,101.5235,0
2024-12-16 04:17:45,100.8681,0
2024-12-24 15:46:00,104.7527,0
2025-01-06 01:02:50,101.317,0
2025-01-14 12:31:04,104.5289,0
2025-01-26 21:47:54,101.3435,0
2025-02-04 09:16:09,101.034,0
2025-02-16 18:32:59,101.3163,0
2025-03-18 02:46:19,103.7481,0
2025-03-30 12:03:07,100.8844,0
2025-04-07 23:31:22,101.7635,1
2025-04-20 08:48:13,100.6844,0
2025-04-28 20:16:28,101.6544,0
2025-05-11 05:33:16,101.0392,0
2025-05-19 17:01:32,101.0472,0
2025-06-01 02:18:23,101.2269,0
2025-06-09 13:46:38,102.3734,1
2025-06-21 23:03:27,101.8391,0
2025-07-12 19:48:34,108.1005,0
2025-07-21 07:16:49,106.5664,1
2025-08-02 16:33:38,114.1934,0
2025-08-11 04:01:53,102.7865,1
2025-08-23 13:18:43,103.6829,0
2025-09-01 00:46:58,105.3955,1
2025-09-13 10:03:46,105.671,0
2025-09-21 21:32:00,105.0052,0
2025-10-04 06:48:50,103.8783,0
2025-10-12 18:17:05,102.9829,0
2025-10-25 03:33:56,101.9578,0
2025-11-02 15:02:11,103.6428,0
2025-11-15 00:18:59,102.4964,0
2025-11-23 11:47:15,103.2835,0
2025-12-05 21:04:03,101.8115,0
2025-12-14 08:32:17,104.0015,0
2025-12-26 17:49:09,101.1685,0
2026-01-04 05:17:24,103.9665,0
2026-01-16 14:34:12,102.0185,0
2026-01-25 02:02:28,102.3622,0
2026-02-06 11:19:17,101.7032,0
2026-02-14 22:47:31,101.5473,0
2026-02-27 08:04:24,101.4049,0
2026-03-07 19:32:40,101.1439,0
2026-03-20 04:49:30,100.6444,0
2026-03-28 16:17:44,104.2652,0
2026-04-10 01:34:34,100.9787,0
2026-04-18 13:02:50,104.8047,0
2026-04-30 22:19:39,100.74,0
2026-05-09 09:47:54,101.2163,0
2026-05-21 19:04:43,101.4394,1
2026-05-30 06:32:58,102.0309,0
2026-06-11 15:49:47,101.6762,0
2026-06-20 03:18:03,102.835,0
2026-07-02 12:34:53,101.3428,0
2026-07-11 00:03:07,99.6816,1
2026-07-23 09:19:55,100.9947,0
