Date,wse,flag
2023-09-01 18:29:59,200.2816,0
2023-09-03 05:22:25,199.3254,0
2023-10-14 22:52:33,199.0858,0
2023-11-03 08:45:12,199.3347,0
2023-11-04 19:37:38,198.9764,0
2023-11-24 05:30:17,198.9428,0
2023-11-25 16:22:43,199.07,0
2023-12-15 02:15:21,198.6107,0
2023-12-16 13:07:47,199.1416,0
2024-01-04 23:00:28,199.0542,0
2024-01-06 09:52:53,199.1868,0
2024-01-25 19:45:33,198.9155,0
2024-01-27 06:37:59,199.257,0
2024-02-15 16:30:38,198.972,0
2024-02-17 03:23:04,199.0858,0
2024-03-07 13:15:42,199.5886,0
2024-03-09 00:08:08,199.3057,0
2024-03-28 10:00:46,199.1034,0
2024-03-29 20:53:12,199.0291,0
2024-04-19 17:38:18,198.9602,0
2024-05-09 03:30:55,198.9272,1
2024-05-10 14:23:21,199.1291,0
2024-05-30 00:16:00,199.8708,0
2024-05-31 11:08:27,199.1466,0
2024-06-19 21:01:05,202.6408,0
2024-06-21 07:53:31,201.6308,0
2024-07-10 17:46:08,203.9731,1
2024-07-12 04:38:35,203.8936,0
2024-07-31 14:31:13,203.9719,0
2024-08-02 01:23:39,200.0501,0
2024-08-21 11:16:17,204.5169,0
2024-08-22 22:08:43,199.6858,0
2024-09-11 08:01:24,201.2258,0
2024-09-12 18:53:49,199.7532,0
2024-10-02 04:46:32,200.3446,0
2024-10-03 15:38:58,199.4875,0
2024-10-23 01:31:35,198.9537,0
2024-10-24 12:24:01,199.1983,0
2024-11-12 22:16:39,198.8901,0
2024-11-14 09:09:05,199.1009,0
2024-12-03 19:01:44,198.8608,0
2024-12-05 05:54:10,199.1465,0
2024-12-24 15:46:49,199.0355,0
2024-12-26 02:39:15,199.2547,0
2025-01-14 12:31:52,199.1125,0
2025-01-15 23:24:19,199.1278,0
2025-02-04 09:16:57,199.1244,0
2025-02-05 20:09:22,199.0883,0
2025-03-18 02:47:07,199.0092,0
2025-03-19 13:39:33,199.0228,0
2025-04-07 23:32:10,198.9133,0
2025-04-09 10:24:36,199.0739,0
2025-04-28 20:17:16,199.0018,0
2025-04-30 07:09:42,199.2935,0
2025-05-19 17:02:20,197.9837,0
2025-05-21 03:54:47,199.3812,0
2025-06-09 13:47:26,199.0596,0
2025-06-11 00:39:52,196.5984,0
2025-06-30 10:32:31,204.3089,0
2025-07-01 21:24:57,202.978,0
2025-07-21 07:17:37,204.5301,0
2025-07-22 18:10:03,202.2147,0
2025-08-11 04:02:40,204.6486,0
2025-08-12 14:55:06,199.4558,1
2025-09-01 00:47:46,204.7465,0
2025-09-02 11:40:12,199.3769,0
2025-09-21 21:32:48,203.0582,0
2025-09-23 08:25:14,199.1777,0
2025-10-12 18:17:53,199.1535,0
2025-10-14 05:10:20,199.1668,0
2025-11-02 15:02:59,198.6946,0
2025-11-04 01:55:25,198.8619,0
2025-11-23 11:48:02,198.7264,0
2025-11-24 22:40:28,197.9225,1
2025-12-14 08:33:05,198.1364,0
2025-12-15 19:25:31,198.9056,0
2026-01-04 05:18:12,198.8193,0
2026-01-05 16:10:38,198.8367,0
2026-01-25 02:03:16,202.2391,0
2026-01-26 12:55:42,198.8729,0
2026-02-14 22:48:19,199.3461,0
2026-02-16 09:40:46,199.0128,0
2026-03-07 19:33:28,198.6306,0
2026-03-09 06:25:54,198.9417,0
2026-03-28 16:18:32,198.2749,0
2026-03-30 03:10:58,198.7541,0
2026-04-18 13:03:38,198.8958,0
2026-04-19 23:56:04,199.0821,0
2026-05-09 09:48:42,199.4217,0
2026-05-10 20:41:08,198.8098,0
2026-05-30 06:33:46,199.7114,0
2026-05-31 17:26:11,199.4073,0
2026-06-20 03:18:51,202.6225,0
2026-06-21 14:11:17,199.4743,0
2026-07-11 00:03:55,204.4637,0
2026-07-12 10:56:21,204.1886,0
