Date,wse,flag
2023-07-27 23:18:31,5.5866,0
2023-07-30 10:14:26,5.3154,0
2023-09-07 16:48:43,6.6822,0
2023-09-10 03:44:37,6.3254,0
2023-09-28 13:33:46,5.1812,0
2023-10-01 00:29:40,5.4756,0
2023-10-19 10:18:50,5.0625,0
2023-10-21 21:14:44,5.0931,0
2023-11-09 07:03:55,2.3933,0
2023-11-11 17:59:49,3.5275,0
2023-11-30 03:49:01,1.8978,1
2023-12-02 14:44:55,2.694,0
2023-12-21 00:34:05,1.9038,1
2024-01-13 08:15:04,1.5215,0
2024-01-31 18:04:16,1.7565,0
2024-02-03 05:00:11,1.5529,0
2024-02-21 14:49:21,1.3324,0
2024-02-24 01:45:16,1.9107,0
2024-03-13 11:34:24,1.9806,0
2024-03-15 22:30:18,0.1809,1
2024-04-03 08:19:28,1.3922,0
2024-04-05 19:15:22,1.7133,1
2024-04-24 05:04:35,1.6866,0
2024-04-26 16:00:28,1.7544,0
2024-05-15 01:49:39,2.2093,1
2024-05-17 12:45:33,1.559,0
2024-06-04 22:34:45,3.8308,1
2024-06-25 19:19:48,5.0081,1
2024-06-28 06:15:42,4.989,0
2024-07-16 16:04:52,7.0977,1
2024-07-19 03:00:47,7.0133,0
2024-08-06 12:49:57,5.9203,0
2024-08-08 23:45:51,4.9279,1
2024-08-27 09:35:01,5.9341,0
2024-08-29 20:30:56,5.5934,0
2024-09-17 06:20:07,5.1914,0
2024-09-19 17:16:02,5.07,0
2024-10-08 03:05:14,5.6554,0
2024-10-10 14:01:08,5.7459,0
2024-10-28 23:50:18,5.9256,1
2024-10-31 10:46:11,4.8346,0
2024-11-18 20:35:22,4.1455,1
2024-11-21 07:31:17,2.3661,0
2024-12-09 17:20:27,2.1534,1
2024-12-12 04:16:21,1.891,0
2024-12-30 14:05:32,1.4683,0
2025-01-02 01:01:26,1.6423,0
2025-01-20 10:50:36,1.8293,1
2025-01-22 21:46:31,2.5112,0
2025-02-10 07:35:39,1.1809,0
2025-02-12 18:31:34,2.239,0
2025-03-03 04:20:45,2.2469,1
2025-03-05 15:16:38,1.6209,0
2025-03-24 01:05:50,2.0798,0
2025-03-26 12:01:44,1.844,0
2025-04-13 21:50:54,2.8282,1
2025-04-16 08:46:49,1.8258,0
2025-05-04 18:35:58,2.8964,1
2025-05-07 05:31:52,2.0599,0
2025-05-25 15:21:04,6.1917,1
2025-05-28 02:16:59,3.4693,0
2025-06-15 12:06:08,4.3406,1
2025-06-17 23:02:02,4.0742,0
2025-07-06 08:51:15,4.8188,0
2025-07-27 05:36:20,5.4398,0
2025-07-29 16:32:14,5.6266,0
2025-08-17 02:21:24,6.6154,0
2025-08-19 13:17:18,6.6802,0
2025-09-06 23:06:28,6.3398,0
2025-09-09 10:02:22,6.2379,0
2025-09-30 06:47:26,6.1978,0
2025-10-18 16:36:37,5.0557,1
2025-10-21 03:32:32,4.6324,0
2025-11-08 13:21:42,4.5886,1
2025-11-11 00:17:36,4.7687,0
2025-11-29 10:06:45,3.1493,0
2025-12-01 21:02:39,3.7655,0
2026-01-10 03:36:55,1.5213,0
2026-01-12 14:32:49,2.8676,0
2026-01-31 00:21:59,2.4982,0
2026-02-02 11:17:53,4.1683,0
2026-02-20 21:07:04,2.0666,1
2026-02-23 08:02:59,2.4607,0
2026-03-13 17:52:11,1.1741,1
2026-03-16 04:48:06,3.8158,0
2026-04-03 14:37:15,1.9553,1
2026-04-06 01:33:09,1.9355,0
2026-04-24 11:22:21,1.8975,0
2026-04-26 22:18:15,1.8319,0
2026-05-15 08:07:25,2.5757,0
2026-05-17 19:03:18,3.0597,0
2026-06-05 04:52:28,3.7302,0
2026-06-07 15:48:23,3.4631,0
2026-06-26 01:37:34,4.7523,0
2026-06-28 12:33:29,4.8715,0
2026-07-16 22:22:38,6.0358,0
2026-07-19 09:18:32,6.0704,0
