Date,wse,flag
2023-07-27 23:18:16,1.8947,0
2023-08-09 08:36:58,2.4113,1
2023-08-30 05:22:03,1.9524,1
2023-09-07 16:48:28,3.1167,0
2023-09-20 02:07:08,3.5653,1
2023-09-28 13:33:32,2.2931,0
2023-10-10 22:52:10,2.5139,1
2023-10-19 10:18:35,1.4137,0
2023-10-31 19:37:16,0.8426,1
2023-11-09 07:03:41,1.5098,0
2023-11-21 16:22:21,1.5069,1
2023-11-30 03:48:46,1.3553,0
2023-12-12 13:07:25,1.2665,1
2023-12-21 00:33:50,0.6246,0
2024-01-02 09:52:32,0.4705,1
2024-01-23 06:37:37,0.3913,1
2024-01-31 18:04:02,0.9227,0
2024-02-13 03:22:42,1.6328,1
2024-02-21 14:49:07,0.5294,0
2024-03-05 00:07:47,0.2947,1
2024-03-13 11:34:09,2.4291,0
2024-03-25 20:52:50,1.4444,1
2024-04-03 08:19:14,1.1157,0
2024-04-15 17:37:55,1.5938,1
2024-04-24 05:04:20,0.8434,0
2024-05-06 14:22:59,1.6768,0
2024-05-15 01:49:24,1.102,0
2024-06-04 22:34:30,2.744,0
2024-06-17 07:53:10,2.9608,1
2024-06-25 19:19:33,1.8709,0
2024-07-08 04:38:12,2.6116,1
2024-07-16 16:04:38,2.5818,0
2024-07-29 01:23:18,2.3178,1
2024-08-06 12:49:42,3.7644,0
2024-08-27 09:34:46,2.3304,0
2024-09-08 18:53:28,2.2496,1
2024-09-17 06:19:53,1.64,0
2024-09-29 15:38:36,1.7625,1
2024-10-08 03:05:00,3.1001,0
2024-10-20 12:23:40,3.4297,1
2024-10-28 23:50:03,0.6592,1
2024-11-10 09:08:44,1.6977,1
2024-11-18 20:35:08,0.919,0
2024-12-01 05:53:49,0.8589,1
2024-12-09 17:20:12,2.0523,0
2024-12-22 02:38:52,1.9726,1
2024-12-30 14:05:17,1.1934,0
2025-01-11 23:23:56,2.6563,1
2025-01-20 10:50:22,0.5307,0
2025-02-01 20:09:01,0.6841,1
2025-02-10 07:35:25,0.7752,0
2025-02-22 16:54:06,1.4033,0
2025-03-03 04:20:30,1.4286,1
2025-03-15 13:39:10,2.0245,1
2025-03-24 01:05:35,0.4809,0
2025-04-05 10:24:14,0.5191,0
2025-04-13 21:50:39,2.1479,0
2025-04-26 07:09:20,2.0189,1
2025-05-04 18:35:43,1.8867,0
2025-05-17 03:54:24,1.8175,1
2025-05-25 15:20:49,1.601,0
2025-06-07 00:39:30,2.0221,1
2025-06-15 12:05:53,2.9496,1
2025-06-27 21:24:35,1.8804,1
2025-07-06 08:51:00,2.8988,0
2025-07-18 18:09:41,2.7867,1
2025-07-27 05:36:05,2.3318,0
2025-08-08 14:54:44,2.5112,1
2025-08-17 02:21:09,3.0552,0
2025-08-29 11:39:50,2.6008,1
2025-09-06 23:06:14,3.4389,0
2025-09-19 08:24:52,3.2013,1
2025-10-10 05:09:57,2.2703,1
2025-10-18 16:36:23,1.3847,0
2025-10-31 01:55:04,1.4522,1
2025-11-08 13:21:27,3.0498,0
2025-11-20 22:40:07,2.6933,1
2025-11-29 10:06:31,1.3986,0
2025-12-11 19:25:09,1.3894,1
2026-01-01 16:10:16,0.79,1
2026-01-10 03:36:40,1.7647,0
2026-01-22 12:55:20,1.9891,1
2026-01-31 00:21:45,1.3288,0
2026-02-12 09:40:23,0.8351,1
2026-02-20 21:06:49,0.8684,0
2026-03-05 06:25:32,0.5336,0
2026-03-13 17:51:57,1.5946,1
2026-03-26 03:10:37,1.5285,0
2026-04-03 14:37:00,1.5479,0
2026-04-15 23:55:42,1.8755,1
2026-04-24 11:22:06,0.8201,0
2026-05-06 20:40:46,1.073,1
2026-05-15 08:07:10,2.7607,0
2026-05-27 17:25:50,1.3526,1
2026-06-05 04:52:13,1.9454,0
2026-06-17 14:10:55,2.9986,0
2026-06-26 01:37:20,1.6326,0
2026-07-08 10:55:59,1.9196,0
2026-07-16 22:22:23,3.1352,0
