Date,wse,flag
2023-08-02 23:22:06,212.3349,1
2023-08-23 20:07:11,211.8355,0
2023-09-05 05:24:30,211.6701,0
2023-09-13 16:52:17,213.2006,0
2023-10-04 13:37:19,212.2551,1
2023-10-16 22:54:37,211.7169,0
2023-10-25 10:22:24,211.5551,0
2023-11-06 19:39:42,211.9394,0
2023-11-15 07:07:29,211.8356,0
2023-11-27 16:24:48,212.0324,0
2023-12-06 03:52:34,211.6314,0
2023-12-18 13:09:51,211.8242,0
2024-01-08 09:54:58,211.9535,0
2024-01-16 21:22:45,211.8324,0
2024-01-29 06:40:04,212.1349,0
2024-02-06 18:07:50,211.8531,0
2024-02-19 03:25:09,212.0139,0
2024-02-27 14:52:55,212.1031,1
2024-03-11 00:10:12,212.0477,0
2024-03-19 11:37:58,212.1187,0
2024-03-31 20:55:16,211.9315,0
2024-04-09 08:23:03,211.9988,0
2024-04-21 17:40:22,212.1999,0
2024-04-30 05:08:07,211.9091,0
2024-05-12 14:25:26,212.1206,0
2024-05-21 01:53:12,211.8925,0
2024-06-02 11:10:31,212.0452,0
2024-06-10 22:38:18,211.7903,0
2024-06-23 07:55:35,212.2782,0
2024-07-01 19:23:21,212.0179,1
2024-07-14 04:40:39,212.113,0
2024-07-22 16:08:26,212.6336,1
2024-08-04 01:25:43,212.4998,0
2024-08-12 12:53:31,213.0298,1
2024-08-24 22:10:47,213.3197,0
2024-09-02 09:38:36,212.7512,1
2024-09-14 18:55:53,212.7397,0
2024-09-23 06:23:43,212.0637,0
2024-10-05 15:41:02,212.184,0
2024-10-14 03:08:48,214.2613,0
2024-10-26 12:26:05,211.8601,0
2024-11-03 23:53:51,210.4206,1
2024-11-16 09:11:09,212.0259,0
2024-11-24 20:38:57,210.5633,0
2024-12-07 05:56:14,212.0289,0
2024-12-15 17:24:01,211.7766,0
2024-12-28 02:41:19,211.9701,0
2025-01-05 14:09:05,211.9582,0
2025-01-17 23:26:23,211.9917,0
2025-01-26 10:54:10,211.8661,1
2025-02-07 20:11:26,211.9231,0
2025-02-16 07:39:14,211.9521,0
2025-03-09 04:24:18,212.0681,0
2025-03-21 13:41:37,211.9244,0
2025-03-30 01:09:23,211.8201,0
2025-04-11 10:26:41,211.6572,0
2025-04-19 21:54:29,211.9031,0
2025-05-02 07:11:46,211.6959,0
2025-05-23 03:56:51,211.5626,0
2025-05-31 15:24:38,211.4743,0
2025-06-13 00:41:56,211.9244,0
2025-06-21 12:09:43,213.3306,1
2025-07-03 21:27:02,213.6528,0
2025-07-12 08:54:49,212.0917,1
2025-07-24 18:12:07,213.752,0
2025-08-02 05:39:53,214.0261,1
2025-08-14 14:57:11,212.2639,0
2025-09-04 11:42:16,213.9878,0
2025-09-12 23:10:01,212.5969,1
2025-09-25 08:27:19,213.5234,0
2025-10-03 19:55:06,212.7234,0
2025-10-24 16:40:12,211.7908,0
2025-11-06 01:57:29,213.1045,0
2025-11-14 13:25:14,212.3873,1
2025-11-26 22:42:33,212.2383,0
2025-12-05 10:10:19,211.8285,0
2025-12-26 06:55:24,211.7954,0
2026-01-07 16:12:42,212.1152,0
2026-01-16 03:40:28,212.0079,0
2026-01-28 12:57:46,211.8783,0
2026-02-06 00:25:33,211.7141,0
2026-02-18 09:42:50,213.1112,0
2026-02-26 21:10:39,211.9799,0
2026-03-11 06:27:58,211.8977,0
2026-03-19 17:55:45,211.7826,1
2026-04-01 03:13:02,211.802,0
2026-04-09 14:40:49,211.9039,0
2026-04-21 23:58:08,211.884,0
2026-04-30 11:25:55,211.6975,0
2026-05-12 20:43:12,211.8366,0
2026-05-21 08:10:58,211.65,0
2026-06-02 17:28:15,212.4306,0
2026-06-11 04:56:03,211.7537,0
2026-06-23 14:13:21,211.6538,0
2026-07-02 01:41:08,211.855,1
2026-07-14 10:58:25,211.5151,0
2026-07-22 22:26:11,212.2426,1
