Date,wse,flag
2023-08-06 21:40:26,1.6352,0
2023-08-09 08:37:05,0.7255,1
2023-08-27 18:25:30,2.2972,1
2023-08-30 05:22:10,1.6592,1
2023-09-17 15:10:36,0.4252,1
2023-09-20 02:07:15,2.1743,0
2023-10-08 11:55:38,0.5063,1
2023-10-29 08:40:43,2.4363,1
2023-10-31 19:37:23,0.9661,1
2023-11-19 05:25:48,0.275,1
2023-11-21 16:22:28,1.7731,1
2023-12-10 02:10:53,-0.3363,1
2023-12-12 13:07:32,0.0622,1
2023-12-30 22:56:00,1.9374,1
2024-01-02 09:52:39,0.0804,1
2024-01-20 19:41:05,1.0188,1
2024-01-23 06:37:44,0.8682,1
2024-02-10 16:26:09,-0.7264,1
2024-02-13 03:22:49,0.2435,1
2024-03-02 13:11:15,1.7239,1
2024-03-05 00:07:54,-0.147,1
2024-03-23 09:56:18,1.7472,1
2024-03-25 20:52:57,2.3313,1
2024-04-13 06:41:23,-0.6057,1
2024-04-15 17:38:02,0.696,1
2024-05-04 03:26:26,0.9292,1
2024-05-06 14:23:06,0.2269,0
2024-05-25 00:11:31,1.4872,1
2024-06-14 20:56:37,0.5008,1
2024-06-17 07:53:17,2.0371,0
2024-07-05 17:41:39,1.0464,0
2024-07-08 04:38:19,0.4501,1
2024-07-26 14:26:46,2.8369,0
2024-07-29 01:23:25,3.1873,0
2024-08-16 11:11:50,1.0978,1
2024-09-06 07:56:56,1.8936,1
2024-09-08 18:53:35,0.3936,1
2024-10-20 12:23:47,2.2217,1
2024-11-07 22:12:11,1.49,1
2024-11-10 09:08:51,0.4494,1
2024-11-28 18:57:16,2.2079,1
2024-12-01 05:53:56,0.8949,1
2025-01-11 23:24:03,1.1048,1
2025-01-30 09:12:29,2.0622,0
2025-02-01 20:09:08,0.9418,1
2025-02-20 05:57:34,0.0215,1
2025-02-22 16:54:13,1.5488,0
2025-03-13 02:42:38,-0.1735,1
2025-03-15 13:39:17,0.6772,1
2025-05-14 16:57:51,-0.29,1
2025-05-17 03:54:31,0.5306,1
2025-06-04 13:42:58,1.9719,1
2025-06-07 00:39:37,0.3302,1
2025-06-25 10:28:03,2.8798,0
2025-06-27 21:24:42,2.9974,1
2025-07-16 07:13:09,0.17,1
2025-07-18 18:09:48,1.2193,1
2025-08-06 03:58:12,1.2416,1
2025-08-08 14:54:51,0.4173,1
2025-08-27 00:43:18,2.7914,1
2025-08-29 11:39:57,3.0459,0
2025-09-16 21:28:20,1.2839,1
2025-09-19 08:24:59,3.0321,0
2025-10-07 18:13:25,2.0058,1
2025-10-10 05:10:04,0.1186,1
2025-10-28 14:58:31,1.6671,1
2025-10-31 01:55:11,1.4624,1
2025-11-18 11:43:34,0.7428,1
2025-11-20 22:40:14,2.2474,1
2025-12-09 08:28:38,-0.2033,1
2025-12-11 19:25:16,0.3403,1
2025-12-30 05:13:44,1.5041,1
2026-01-01 16:10:23,0.492,1
2026-01-20 01:58:48,0.5642,1
2026-01-22 12:55:27,1.5864,1
2026-02-09 22:43:52,0.1708,1
2026-02-12 09:40:31,0.1995,1
2026-03-02 19:28:59,2.0769,1
