Date,wse,flag
2023-04-07 17:36:29,401.651,0
2023-04-08 17:27:07,401.0065,0
2023-04-09 17:17:45,400.4512,0
2023-04-10 17:08:23,400.572,0
2023-04-11 16:59:01,401.2569,0
2023-04-12 16:49:40,400.6545,0
2023-04-13 16:40:18,400.6911,0
2023-04-14 16:30:55,400.7523,0
2023-04-15 16:21:33,400.7139,0
2023-04-16 16:12:11,400.2136,0
2023-04-17 16:02:49,400.6466,0
2023-04-18 15:53:27,400.6481,0
2023-04-19 15:44:05,400.5921,0
2023-04-20 15:34:43,400.4291,0
2023-04-21 15:25:20,400.2171,0
2023-04-22 15:15:58,400.2516,0
2023-04-23 15:06:36,400.1186,0
2023-04-24 14:57:14,400.0598,0
2023-04-25 14:47:52,400.3881,0
2023-04-27 14:29:08,399.7043,0
2023-04-28 14:19:46,399.996,0
2023-04-29 14:10:24,399.8712,0
2023-05-01 13:51:39,399.6208,0
2023-05-02 13:42:17,399.7676,0
2023-05-03 13:32:55,399.9806,0
2023-05-04 13:23:32,399.8404,0
2023-05-05 13:14:10,399.7698,0
2023-05-06 13:04:48,400.2278,0
2023-05-07 12:55:26,400.0115,0
2023-05-08 12:46:03,400.2032,0
2023-05-09 12:36:41,400.0213,0
2023-05-10 12:27:19,399.8651,0
2023-05-11 12:17:57,399.8786,0
2023-05-12 12:08:34,399.7627,0
2023-05-13 11:59:12,399.7877,0
2023-05-14 11:49:50,399.6487,0
2023-05-15 11:40:27,399.8567,0
2023-05-16 11:31:05,399.6694,0
2023-05-17 11:21:42,399.7587,0
2023-05-18 11:12:20,399.6782,0
2023-05-19 11:02:58,399.7593,0
2023-05-23 10:25:30,399.5725,0
2023-05-24 10:16:08,399.7092,0
2023-05-25 10:06:46,399.7808,0
2023-05-26 09:57:24,399.7984,0
2023-05-27 09:48:02,399.4995,0
2023-05-28 09:38:40,399.7827,0
2023-05-29 09:29:18,399.7035,0
2023-05-30 09:19:55,399.8588,0
2023-05-31 09:10:33,399.7366,0
2023-06-01 09:01:11,399.9004,0
2023-06-02 08:51:49,399.3837,0
2023-06-03 08:42:27,399.661,0
