Date,wse,flag
2023-08-10 21:44:11,735.7468,0
2023-08-31 18:29:16,734.9588,0
2023-09-02 05:22:02,735.6374,0
2023-09-21 15:14:21,735.0286,1
2023-10-12 11:59:23,735.7439,0
2023-10-13 22:52:10,733.6362,0
2023-11-02 08:44:29,734.8973,0
2023-11-03 19:37:15,735.0636,0
2023-11-23 05:29:34,733.5908,0
2023-11-24 16:22:21,733.5015,0
2023-12-14 02:14:38,734.5722,0
2023-12-15 13:07:24,733.2816,0
2024-01-03 22:59:44,734.1023,0
2024-01-05 09:52:31,732.8905,0
2024-01-24 19:44:50,732.9856,0
2024-01-26 06:37:37,733.434,0
2024-02-14 16:29:55,733.896,0
2024-02-16 03:22:41,734.4034,0
2024-03-06 13:14:59,737.0475,0
2024-03-08 00:07:45,734.0869,0
2024-03-27 10:00:03,734.0523,0
2024-03-28 20:52:49,735.9562,0
2024-04-18 17:37:55,732.4876,0
2024-05-08 03:30:12,738.1919,0
2024-05-09 14:22:58,734.7139,0
2024-05-29 00:15:17,736.0828,0
2024-06-18 21:00:22,737.9943,0
2024-06-20 07:53:09,734.6453,0
2024-07-09 17:45:25,734.885,0
2024-07-11 04:38:12,735.5621,0
2024-07-30 14:30:30,736.2357,0
2024-08-01 01:23:16,734.5671,0
2024-08-20 11:15:34,743.1754,0
2024-08-21 22:08:20,736.0717,0
2024-09-10 08:00:40,736.7449,0
2024-10-02 15:38:35,735.0722,0
2024-10-22 01:30:52,737.8405,1
2024-10-23 12:23:39,735.8862,0
2024-11-11 22:15:56,733.989,0
2024-11-13 09:08:42,734.2643,0
2024-12-02 19:01:01,733.203,0
2025-01-13 12:31:09,733.473,1
2025-01-14 23:23:56,733.9638,0
2025-02-03 09:16:13,734.2981,0
2025-02-24 06:01:19,734.394,0
2025-03-17 02:46:23,734.1471,0
2025-05-18 17:01:37,737.4348,0
2025-05-20 03:54:24,738.0222,0
2025-06-08 13:46:42,733.9453,0
2025-06-10 00:39:29,735.4766,0
2025-06-29 10:31:48,735.348,0
2025-06-30 21:24:35,735.7182,0
2025-07-20 07:16:54,736.3661,0
2025-07-21 18:09:40,735.6954,0
2025-08-10 04:01:57,735.358,0
2025-08-11 14:54:44,735.8685,0
2025-08-31 00:47:03,736.7906,0
2025-09-01 11:39:49,770.0271,0
2025-09-20 21:32:04,735.0719,0
2025-09-22 08:24:51,735.1152,0
2025-10-11 18:17:10,733.6678,0
2025-10-13 05:09:57,733.0057,0
2025-11-01 15:02:16,734.1816,0
2025-11-03 01:55:03,733.8775,0
2025-11-22 11:47:19,735.4029,0
2025-11-23 22:40:06,737.1346,0
2025-12-13 08:32:22,734.9533,0
2025-12-14 19:25:08,733.7478,0
2026-01-03 05:17:29,735.2517,0
2026-01-04 16:10:15,734.2681,0
2026-01-24 02:02:33,735.6977,0
2026-01-25 12:55:19,733.371,0
2026-02-13 22:47:36,734.3512,1
2026-02-15 09:40:23,734.7825,0
