Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-09-05 16:48:55+00:00,45280300121,435.149,1,0.0,0,50182,m,1
2023-10-17 10:19:03+00:00,45280300121,437.0124,1,0.0,0,51204,m,1
2023-11-07 07:04:08+00:00,45280300121,434.9444,1,0.0,0,51204,m,1
2023-11-28 03:49:14+00:00,45280300121,456.2742,1,0.0,0,51206,m,1
2023-12-19 00:34:17+00:00,45280300121,438.9861,1,0.0,0,51206,m,1
2024-01-29 18:04:29+00:00,45280300121,440.0768,1,0.0,0,52230,m,1
2024-02-19 14:49:34+00:00,45280300121,436.6468,1,0.0,0,52228,m,1
2024-03-11 11:34:37+00:00,45280300121,436.9513,1,0.0,0,52228,m,1
2024-04-01 08:19:41+00:00,45280300121,434.679,1,0.0,0,51206,m,1
2024-04-22 05:04:48+00:00,45280300121,434.8367,1,0.0,0,52230,m,1
2024-06-02 22:34:57+00:00,45280300121,435.4141,1,0.0,0,50182,m,1
2024-06-23 19:20:01+00:00,45280300121,436.3762,1,0.0,0,49158,m,1
2024-07-14 16:05:05+00:00,45280300121,434.7379,1,0.0,0,51206,m,1
2024-08-04 12:50:09+00:00,45280300121,434.848,1,0.0,0,52230,m,1
2024-08-25 09:35:13+00:00,45280300121,477.9193,1,0.0,0,51206,m,1
2024-10-06 03:05:27+00:00,45280300121,432.9513,1,0.0,0,51206,m,1
2024-10-26 23:50:31+00:00,45280300121,438.2419,2,0.0,2,575490,m,1
2024-11-16 20:35:35+00:00,45280300121,454.0511,1,0.0,0,16390,m,1
2025-01-18 10:50:49+00:00,45280300121,438.1877,1,0.0,0,49158,m,1
2025-05-23 15:21:17+00:00,45280300121,437.8782,1,0.0,0,49158,m,1
2025-06-13 12:06:21+00:00,45280300121,438.362,1,0.0,0,49158,m,1
2025-07-04 08:51:28+00:00,45280300121,445.1112,2,0.0,2,573442,m,1
2025-07-25 05:36:33+00:00,45280300121,436.8153,1,0.0,0,49158,m,1
2025-09-04 23:06:41+00:00,45280300121,438.717,1,0.0,0,49166,m,1
2025-09-25 19:51:44+00:00,45280300121,435.0586,1,0.0,0,51206,m,1
2025-10-16 16:36:50+00:00,45280300121,436.0673,2,0.0,2,575490,m,1
2025-11-06 13:21:55+00:00,45280300121,437.5376,1,0.0,0,49166,m,1
2025-11-27 10:06:58+00:00,45280300121,438.3021,2,0.0,2,573442,m,1
2025-12-18 06:52:02+00:00,45280300121,438.9918,1,0.0,0,49158,m,1
2026-01-08 03:37:08+00:00,45280300121,435.9974,1,0.0,0,49158,m,1
2026-01-29 00:22:12+00:00,45280300121,438.5336,1,0.0,0,51206,m,1
2026-02-18 21:07:16+00:00,45280300121,436.1101,1,0.0,0,49158,m,1
