Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-08-24 07:01:42+00:00,45247201291,375.2444,1,0.0,0,14,m,1
2023-09-01 18:28:22+00:00,45247201291,374.7798,2,0.0,0,294926,m,1
2023-09-14 03:46:49+00:00,45247201291,375.4811,1,0.0,0,14,m,1
2023-10-05 00:31:50+00:00,45247201291,374.57,1,0.0,0,32782,m,1
2023-10-13 11:58:30+00:00,45247201291,374.178,1,0.0,0,32774,m,1
2023-10-25 21:16:55+00:00,45247201291,374.3857,1,0.00581562432,0,32774,m,1
2023-11-03 08:43:35+00:00,45247201291,374.5349,1,0.0,0,14,m,1
2023-11-15 18:02:00+00:00,45247201291,376.6906,1,0.0,0,33798,m,1
2023-11-24 05:28:40+00:00,45247201291,376.7616,1,0.0,0,35846,m,1
2023-12-06 14:47:06+00:00,45247201291,378.4697,1,0.0,0,32782,m,1
2023-12-15 02:13:44+00:00,45247201291,374.9414,1,0.01058661802,0,35846,m,1
2024-01-04 22:58:51+00:00,45247201291,374.3748,1,0.0,0,6,m,1
2024-01-25 19:43:56+00:00,45247201291,376.2699,1,0.0,0,35846,m,1
2024-02-15 16:29:01+00:00,45247201291,373.7729,1,0.0,0,35846,m,1
2024-02-28 01:47:27+00:00,45247201291,374.0904,1,0.0,0,14,m,1
2024-03-07 13:14:05+00:00,45247201291,373.8738,2,0.0,0,297990,m,1
2024-03-19 22:32:30+00:00,45247201291,374.3525,1,0.0,0,35846,m,1
2024-03-28 09:59:09+00:00,45247201291,374.2813,1,0.0,0,6,m,1
2024-04-09 19:17:34+00:00,45247201291,374.2617,1,0.0,0,14,m,1
2024-04-30 16:02:39+00:00,45247201291,374.013,1,0.0,0,14,m,1
2024-05-09 03:29:18+00:00,45247201291,373.2617,1,0.0,1,6,m,1
2024-05-21 12:47:44+00:00,45247201291,376.7801,1,0.0,0,14,m,1
2024-05-30 00:14:24+00:00,45247201291,376.0483,1,0.0,0,35846,m,1
2024-06-11 09:32:50+00:00,45247201291,373.579,1,0.0,0,14,m,1
2024-06-19 20:59:28+00:00,45247201291,377.6019,1,0.0,0,34830,m,1
2024-07-02 06:17:52+00:00,45247201291,374.8021,1,0.0,0,14,m,1
2024-07-10 17:44:32+00:00,45247201291,378.2463,1,0.0,0,14,m,1
2024-07-23 03:02:58+00:00,45247201291,379.029,1,0.0,0,14,m,1
2024-07-31 14:29:36+00:00,45247201291,379.9276,1,0.0,0,14,m,1
2024-08-12 23:48:03+00:00,45247201291,378.4223,2,0.0,2,524298,m,1
2024-08-21 11:14:41+00:00,45247201291,376.593,2,0.0,0,262158,m,1
2024-09-02 20:33:08+00:00,45247201291,375.9232,2,0.0,0,294926,m,1
2024-10-02 04:44:55+00:00,45247201291,375.0319,1,0.0,0,14,m,1
2024-10-14 14:03:19+00:00,45247201291,374.2397,1,0.0,0,32782,m,1
2024-10-23 01:29:59+00:00,45247201291,374.2725,2,0.0,0,294918,m,1
2024-11-04 10:48:23+00:00,45247201291,375.0639,1,0.0,0,32774,m,1
2024-11-12 22:15:02+00:00,45247201291,375.5476,1,0.0,0,35846,m,1
2024-11-25 07:33:29+00:00,45247201291,374.164,1,0.0,0,6,m,1
2024-12-03 19:00:07+00:00,45247201291,378.5678,2,0.0,0,297990,m,1
2025-01-14 12:30:15+00:00,45247201291,380.3118,1,0.0,0,35846,m,1
2025-01-26 21:48:42+00:00,45247201291,375.8333,2,0.0,0,297990,m,1
2025-02-16 18:33:46+00:00,45247201291,374.4301,1,0.0,0,35846,m,1
2025-05-11 05:34:03+00:00,45247201291,374.2541,1,0.0,0,2054,m,1
2025-05-19 17:00:43+00:00,45247201291,371.0912,1,0.0,0,35846,m,1
