Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-08-01 23:21:59+00:00,45249100051,117.7111,1,0.0,0,14,m,1
2023-08-03 10:15:40+00:00,45249100051,118.2813,2,0.0,0,313358,m,1
2023-08-22 20:07:03+00:00,45249100051,115.9826,1,0.0,0,14,m,1
2023-08-24 07:00:45+00:00,45249100051,115.4404,1,0.0,0,51214,m,1
2023-09-01 18:29:18+00:00,45249100051,115.8796,1,0.0,0,40974,m,1
2023-09-12 16:52:10+00:00,45249100051,115.3582,1,0.0,0,12,m,1
2023-09-14 03:45:51+00:00,45249100051,115.4146,2,0.0,0,837646,m,1
2023-10-03 13:37:12+00:00,45249100051,114.5099,1,0.0,0,4,m,1
2023-10-05 00:30:53+00:00,45249100051,113.7279,2,0.0,0,837646,m,1
2023-10-24 10:22:17+00:00,45249100051,113.7436,1,0.0,0,4,m,1
2023-10-25 21:15:58+00:00,45249100051,113.2587,2,0.0,0,311310,m,1
2023-11-03 08:44:31+00:00,45249100051,113.3193,1,0.0,0,43012,m,1
2023-11-14 07:07:22+00:00,45249100051,113.6687,1,0.0,0,35846,m,1
2023-11-15 18:01:03+00:00,45249100051,113.3253,2,0.0,0,278542,m,1
2023-11-24 05:29:36+00:00,45249100051,113.4364,1,0.0,0,44036,m,1
2023-12-05 03:52:27+00:00,45249100051,114.2606,1,0.0,0,34822,m,1
2023-12-06 14:46:09+00:00,45249100051,113.2336,1,0.0,0,49166,m,1
2023-12-15 02:14:39+00:00,45249100051,114.0614,1,0.0,0,40964,m,1
2024-01-04 22:59:46+00:00,45249100051,113.3533,1,0.0,0,44038,m,1
2024-01-15 21:22:37+00:00,45249100051,113.3659,1,0.0,0,32772,m,1
2024-01-25 19:44:52+00:00,45249100051,112.7267,1,0.0,0,44036,m,1
2024-02-05 18:07:43+00:00,45249100051,113.6719,1,0.0,0,35846,m,1
2024-02-15 16:29:56+00:00,45249100051,113.4766,1,0.0,0,44036,m,1
2024-02-26 14:52:48+00:00,45249100051,113.1842,1,0.0,0,6,m,1
2024-02-28 01:46:30+00:00,45249100051,112.147,2,0.0,0,837646,m,1
2024-03-07 13:15:00+00:00,45249100051,112.0598,1,0.0,0,44036,m,1
2024-03-18 11:37:51+00:00,45249100051,113.49,1,0.0,0,4,m,1
2024-03-19 22:31:32+00:00,45249100051,113.2078,2,0.0,0,311310,m,1
2024-03-28 10:00:04+00:00,45249100051,113.049,1,0.0,0,40964,m,1
2024-04-08 08:22:55+00:00,45249100051,112.6674,1,0.0,0,12,m,1
2024-04-09 19:16:37+00:00,45249100051,112.8142,1,0.0,0,49166,m,1
2024-04-29 05:08:01+00:00,45249100051,112.6075,1,0.0,0,12,m,1
2024-04-30 16:01:42+00:00,45249100051,112.5808,1,0.0,0,49166,m,1
2024-05-09 03:30:14+00:00,45249100051,112.9677,1,0.0,1,40972,m,1
2024-05-20 01:53:05+00:00,45249100051,112.2769,1,0.0,0,6,m,1
2024-05-21 12:46:46+00:00,45249100051,112.3496,1,0.0,0,16398,m,1
2024-05-30 00:15:19+00:00,45249100051,112.9118,1,0.0,0,43012,m,1
2024-06-09 22:38:11+00:00,45249100051,112.4818,1,0.0,0,6,m,1
2024-06-11 09:31:52+00:00,45249100051,112.329,1,0.0,0,16398,m,1
2024-06-19 21:00:24+00:00,45249100051,112.6047,1,0.0,0,40964,m,1
2024-06-30 19:23:14+00:00,45249100051,113.4484,1,0.0,0,6,m,1
2024-07-02 06:16:55+00:00,45249100051,112.5796,1,0.0,0,51214,m,1
2024-07-10 17:45:27+00:00,45249100051,119.3584,1,0.0,0,40974,m,1
2024-07-21 16:08:19+00:00,45249100051,113.5165,1,0.0,0,14,m,1
2024-07-23 03:02:01+00:00,45249100051,113.1636,2,0.0,0,802830,m,1
2024-07-31 14:30:32+00:00,45249100051,112.8707,1,0.0,0,40966,m,1
2024-08-11 12:53:24+00:00,45249100051,114.7347,1,0.0,0,32780,m,1
2024-08-12 23:47:06+00:00,45249100051,115.0779,2,0.0,2,838666,m,1
2024-08-21 11:15:36+00:00,45249100051,115.9667,1,0.0,0,40966,m,1
2024-09-01 09:38:29+00:00,45249100051,114.8067,1,0.0,0,12,m,1
2024-09-02 20:32:11+00:00,45249100051,115.5955,2,0.0,0,837646,m,1
2024-10-02 04:45:50+00:00,45249100051,115.7512,1,0.0,0,8204,m,1
