Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-07-27 23:18:03+00:00,45311300125,2.083,2,0.0032018041,0,786440,m,1
2023-07-30 10:14:53+00:00,45311300125,0.8117,2,0.00930478097,0,802830,m,1
2023-09-07 16:48:15+00:00,45311300125,10.5486,2,0.00182314897,0,802824,m,1
2023-09-10 03:45:04+00:00,45311300125,1.8956,2,0.01387443202,0,802826,m,1
2023-09-28 13:33:19+00:00,45311300125,0.3532,2,0.0129632065,0,786442,m,1
2023-10-01 00:30:07+00:00,45311300125,0.9316,2,0.00630849998,0,278542,m,1
2023-10-19 10:18:22+00:00,45311300125,1.3316,2,0.00693333002,0,786440,m,1
2023-10-21 21:15:12+00:00,45311300125,1.6481,2,0.01506190462,0,278542,m,1
2023-11-09 07:03:28+00:00,45311300125,0.8151,2,0.0054899574,0,802828,m,1
2023-11-11 18:00:17+00:00,45311300125,1.9408,2,0.00858722685,0,278542,m,1
2023-11-30 03:48:33+00:00,45311300125,0.2633,2,0.00506374609,0,802826,m,1
2023-12-02 14:45:22+00:00,45311300125,0.1849,2,0.02469289984,0,802830,m,1
2023-12-21 00:33:37+00:00,45311300125,-9.79,2,0.08422760839,0,786446,m,1
2024-01-13 08:15:32+00:00,45311300125,1.6122,2,0.01531497424,0,802830,m,1
2024-01-31 18:03:49+00:00,45311300125,-6.9075,2,0.27767745388,0,802830,m,1
2024-02-03 05:00:38+00:00,45311300125,0.2011,2,0.00937160539,0,802830,m,1
2024-02-21 14:48:54+00:00,45311300125,1.1155,2,0.00716521945,0,786446,m,1
2024-02-24 01:45:43+00:00,45311300125,-0.05,2,0.00961853816,0,802830,m,1
2024-03-13 11:33:56+00:00,45311300125,0.9103,2,0.00689141878,0,786446,m,1
2024-03-15 22:30:45+00:00,45311300125,1.0118,2,0.0072770779,2,802826,m,1
2024-04-03 08:19:01+00:00,45311300125,0.6809,2,0.00564160444,0,786446,m,1
2024-04-05 19:15:49+00:00,45311300125,1.0078,2,0.00833980272,2,802826,m,1
2024-04-24 05:04:07+00:00,45311300125,2.2154,2,0.00696018058,0,802826,m,1
2024-04-26 16:00:56+00:00,45311300125,0.9032,2,0.01936078603,0,802830,m,1
2024-05-15 01:49:11+00:00,45311300125,0.9189,2,0.00544192738,0,786442,m,1
2024-05-17 12:46:00+00:00,45311300125,1.6259,2,0.01033524635,0,802830,m,1
2024-06-04 22:34:17+00:00,45311300125,0.4375,2,2.937131e-05,0,804872,m,1
2024-06-25 19:19:20+00:00,45311300125,24.329,2,0.00288268929,0,786440,m,1
2024-06-28 06:16:09+00:00,45311300125,1.8197,2,0.00322789088,0,278542,m,1
2024-07-16 16:04:25+00:00,45311300125,12.8625,2,0.01322074635,0,786440,m,1
2024-07-19 03:01:14+00:00,45311300125,2.5196,2,0.01138319092,0,278542,m,1
2024-08-06 12:49:29+00:00,45311300125,0.7916,2,0.00169880081,0,786440,m,1
2024-08-08 23:46:18+00:00,45311300125,1.043,2,0.9765466572,2,573450,m,1
2024-08-27 09:34:33+00:00,45311300125,1.8346,2,0.00521442624,0,786440,m,1
2024-08-29 20:31:23+00:00,45311300125,0.9291,2,0.00849933534,0,802830,m,1
2024-10-08 03:04:46+00:00,45311300125,0.6036,2,0.02452899677,0,802824,m,1
2024-10-10 14:01:35+00:00,45311300125,1.045,2,0.02147314323,0,802826,m,1
2024-10-28 23:49:50+00:00,45311300125,-9.8861,2,0.09145088788,2,786440,m,1
2024-10-31 10:46:39+00:00,45311300125,0.4546,2,0.00732775255,0,802830,m,1
2024-11-18 20:34:55+00:00,45311300125,-8.7928,2,0.09157170694,0,802826,m,1
2024-11-21 07:31:45+00:00,45311300125,1.5223,2,0.03190107946,0,802830,m,1
2025-01-20 10:50:08+00:00,45311300125,1.6712,2,0.00848823584,0,802826,m,1
2025-01-22 21:46:58+00:00,45311300125,1.3838,2,0.01056701352,0,802830,m,1
